КАЛЬКУЛЯТОР ДЕПОЗИТА

ЧАСТЬ 1: ВВОД ДАННЫХ
Параметр;Значение
Начальная сумма депозита;50000.31
Годовая ставка (%);16
Налог на доход (%);12
Ежемесячное пополнение;0
Срок (мес.);24

ЧАСТЬ 2: ПОМЕСЯЧНЫЙ ПРОГНОЗ
Месяц;Дата;Начало;Начислено %;Налог;Капитализация;Пополнение;Конец
1;10.09.2025;50000.31;0.00;0.00;0.00;0.00;50000.31
2;10.10.2025;50000.31;666.67;80.00;0.00;0.00;50000.31
3;10.11.2025;50000.31;666.67;80.00;0.00;0.00;50000.31
4;10.12.2025;50000.31;666.67;80.00;0.00;0.00;50000.31
5;10.01.2026;50000.31;666.67;80.00;0.00;0.00;50000.31
6;10.02.2026;50000.31;666.67;80.00;0.00;0.00;50000.31
7;10.03.2026;50000.31;666.67;80.00;0.00;0.00;50000.31
8;10.04.2026;50000.31;666.67;80.00;0.00;0.00;50000.31
9;10.05.2026;50000.31;666.67;80.00;0.00;0.00;50000.31
10;10.06.2026;50000.31;666.67;80.00;0.00;0.00;50000.31
11;10.07.2026;50000.31;666.67;80.00;0.00;0.00;50000.31
12;10.08.2026;50000.31;666.67;80.00;0.00;0.00;50000.31
13;10.09.2026;50000.31;666.67;80.00;0.00;0.00;50000.31
14;10.10.2026;50000.31;666.67;80.00;0.00;0.00;50000.31
15;10.11.2026;50000.31;666.67;80.00;0.00;0.00;50000.31
16;10.12.2026;50000.31;666.67;80.00;0.00;0.00;50000.31
17;10.01.2027;50000.31;666.67;80.00;0.00;0.00;50000.31
18;10.02.2027;50000.31;666.67;80.00;0.00;0.00;50000.31
19;10.03.2027;50000.31;666.67;80.00;0.00;0.00;50000.31
20;10.04.2027;50000.31;666.67;80.00;0.00;0.00;50000.31
21;10.05.2027;50000.31;666.67;80.00;0.00;0.00;50000.31
22;10.06.2027;50000.31;666.67;80.00;0.00;0.00;50000.31
23;10.07.2027;50000.31;666.67;80.00;0.00;0.00;50000.31
24;10.08.2027;50000.31;666.67;80.00;0.00;0.00;50000.31
